Pkt_no,Time,src,dst,length,ttl,Type,RTT,lat,lon,mPci,mEarfcn,rssi,rsrp,rsrq,rssnr,lteLevel,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq
44,1685649933.335078000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
45,1685649933.371874000,142.250.72.164,10.215.173.1,132,64,0,36.796,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
46,1685649934.336985000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
47,1685649934.372763000,142.250.72.164,10.215.173.1,132,64,0,35.778,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
48,1685649935.338801000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
49,1685649935.381983000,142.250.72.164,10.215.173.1,132,64,0,43.182,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
50,1685649936.340373000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
51,1685649936.382957000,142.250.72.164,10.215.173.1,132,64,0,42.584,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
52,1685649937.341579000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
53,1685649937.381670000,142.250.72.164,10.215.173.1,132,64,0,40.091,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
54,1685649938.343229000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
55,1685649938.381804000,142.250.72.164,10.215.173.1,132,64,0,38.575,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
56,1685649939.344457000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
57,1685649939.384637000,142.250.72.164,10.215.173.1,132,64,0,40.18,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
58,1685649940.345683000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
59,1685649940.387093000,142.250.72.164,10.215.173.1,132,64,0,41.41,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
60,1685649941.348028000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
61,1685649941.405792000,142.250.72.164,10.215.173.1,132,64,0,57.764,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
